id,original,story_main_num,story_sub_num,koma,who,inner,speaker,what,wakati,emotion,kakimoji,self_anotated,alter_emotion
0,True,0,0,0,B,False,B,Aくんっていつもクールね,A くん って いつも クール ね,ニュートラル,False,False,
1,True,0,0,0,A,False,A,そうですか,そう です か,ニュートラル,False,False,
2,True,0,0,1,B,True,B,休みの日は何してるんだろう,休み の 日 は 何 して る んだろう,ニュートラル,False,False,
3,True,0,1,1,A,False,A,おはようございます,おはよう ございます,ニュートラル,False,False,
4,True,0,1,2,B,False,B,おはようAくん,おはよう A くん,ニュートラル,False,False,
5,True,0,1,3,B,False,B,Aくん、休みの日はいつも何してるの?,A くん 、 休み の 日 は いつも 何 して る の ?,ニュートラル,False,False,
6,True,0,1,3,A,False,A,内緒です,内緒 です,恐怖,False,False,
7,True,0,1,3,B,False,B,いつもクールだね?,いつも クールだ ね ?,喜楽,False,False,
8,True,1,0,0,B,False,B,Aくん顔色悪いんじゃない?ちゃんと寝てる?,A くん 顔色 悪い んじゃ ない ? ちゃん と 寝て る ?,ニュートラル,False,False,
9,True,1,0,0,A,False,A,いえ大丈夫です,いえ 大丈夫です,ニュートラル,False,False,
10,True,1,0,0,A,True,A,昨晩遅くまでライブDVD見てたからな…,昨晩 遅く まで ライブ DVD 見て た から な …,悲哀,False,False,
11,True,1,0,1,B,False,B,私で何か手伝えることがあれば言ってね,私 で 何 か 手伝える こと が あれば 言って ね,ニュートラル,False,False,
12,True,1,0,1,A,True,A,Bさんはいつも優しいな,B さん は いつも 優しい な,喜楽,False,False,
13,True,1,0,2,A,False,A,あっ…じゃあこれ添削してもらえませんか,あっ … じゃあ これ 添削 して もらえ ませ ん か,喜楽,False,False,
14,True,1,0,3,A,True,A,怖い,怖い,恐怖,False,False,
15,True,1,1,0,B,False,B,添削しておいたよ,添削 して おいた よ,ニュートラル,False,False,
16,True,1,1,0,A,False,A,あ…ありがとうございます,あ … ありがとう ございます,恐怖,False,False,
17,True,1,1,0,A,True,A,怖い,怖い,恐怖,False,False,
18,True,1,1,1,B,False,B,Aくん顔色悪いんじゃない?ちゃんと寝てる?,A くん 顔色 悪い んじゃ ない ? ちゃん と 寝て る ?,ニュートラル,False,False,
19,True,1,1,1,A,False,A,いえ大丈夫です,いえ 大丈夫です,ニュートラル,False,False,
20,True,1,1,2,B,False,B,私で何か手伝えることがあれば言ってね,私 で 何 か 手伝える こと が あれば 言って ね,ニュートラル,False,False,
21,True,1,1,3,A,True,A,Bさんは優しいなあ,B さん は 優しい なあ,喜楽,False,False,
22,True,1,1,3,A,True,A,普段は,普段 は,UNK,True,True,
23,True,2,0,0,A,False,A,言われてた実験画像のデータです,言わ れて た 実験 画像 の データ です,ニュートラル,False,False,
24,True,2,0,0,B,False,B,ありがとう,ありがとう,喜楽,False,False,
25,True,2,0,2,A,False,A,あー、それは…!,あー 、 それ は … !,悲哀,False,False,
26,True,2,0,2,A,True,B,アイドルとか好きなんだ～,アイドル と か 好きな んだ～,UNK,False,True,
27,True,2,0,3,B,False,B,この服可愛いね,この 服 可愛い ね,喜楽,False,False,
28,True,2,0,3,A,False,A,え!?,え ! ?,驚愕,False,False,
29,True,2,1,0,B,False,B,この服可愛いね,この 服 可愛い ね,ニュートラル,False,False,
30,True,2,1,0,A,False,A,え!?,え ! ?,驚愕,False,False,
31,True,2,1,1,A,False,A,あー！そっちじゃないです！,あー ！ そっち じゃ ない です ！,UNK,False,True,
32,True,2,1,2,A,True,A,絶対ドン引きすると思ったのになあ,絶対 ドン 引き する と 思った のに なあ,UNK,False,True,
33,True,2,1,2,A,True,B,アイドルとか好きなんだ～,アイドル と か 好きな んだ～,UNK,False,True,
34,True,2,1,3,A,False,A,こっちが言われてた実験画像のデータです,こっち が 言わ れて た 実験 画像 の データ です,ニュートラル,False,False,
35,True,2,1,3,B,False,B,ありがとう,ありがとう,喜楽,False,False,
36,True,3,0,0,A,False,A,先輩、研究室を掃除していたら、棚の中に…,先輩 、 研究 室 を 掃除 して いたら 、 棚 の 中 に …,ニュートラル,False,False,
37,True,3,0,0,B,False,B,棚の中に?,棚 の 中 に ?,ニュートラル,False,False,
38,True,3,0,1,A,False,A,メイド服があったんですけど,メイド 服 が あった んです けど,驚愕,False,False,
39,True,3,0,1,B,False,B,研究室行事で着たことがあるの。興味ある?,研究 室 行事 で 着た こと が ある の 。 興味 ある ?,ニュートラル,False,False,
40,True,3,0,1,A,False,A,…はい!,… はい !,喜楽,False,False,
41,True,3,0,2,A,True,A,アイドルの話をBさんに心置きなくできるかも!,アイドル の 話 を B さん に 心置きなく できる かも !,喜楽,False,False,
42,True,3,0,2,A,True,A,メイド服が好きならアイドルにも抵抗なさそう,メイド 服 が 好き なら アイドル に も 抵抗 な さ そう,UNK,True,True,
43,True,3,0,3,B,True,B,今年はAくんが研究室行事で着てくれるかな,今年 は A くん が 研究 室 行事 で 着て くれる か な,喜楽,False,False,
44,True,3,1,0,B,True,B,Aくんアイドルとか好きみたいだし、今年の研究室行事で着てくれるかな,A くん アイドル と か 好き みたいだ し 、 今年 の 研究 室 行事 で 着て くれる か な,喜楽,False,False,
45,True,3,1,0,B,True,B,去年は私が着たやつ,去年 は 私 が 着た やつ,UNK,True,True,
46,True,3,1,1,A,False,A,そこの棚にメイド服があったんですけど,そこ の 棚 に メイド 服 が あった んです けど,ニュートラル,False,False,
47,True,3,1,1,B,False,B,!見つけたの,! 見つけた の,驚愕,False,False,
48,True,3,1,2,B,False,B,メイド服、興味ある?,メイド 服 、 興味 ある ?,ニュートラル,False,False,
49,True,3,1,2,A,False,A,…はい!,… はい !,喜楽,False,False,
50,True,3,1,3,A,False,A,袖口ボタンのディティール、凝ってますね!GPU のファンの形みたいで,袖口 ボタン の ディティール 、 凝って ます ね ! GPU の ファン の 形 みたいで,喜楽,False,False,
51,True,3,1,3,B,False,B,……,……,憤怒,False,False,
52,True,4,0,3,B,False,B,これからディスカッションなんだ?,これ から ディスカッション な んだ ?,ニュートラル,False,False,
53,True,4,0,1,A,False,A,ディスカッションって怖そうですよね,ディスカッション って 怖 そうです よ ね,悲哀,False,False,
54,True,4,0,1,A,False,A,まだ、研究室内のミーティングでいろいろ言われるのも苦手で,まだ 、 研究 室 内 の ミーティング で いろいろ 言わ れる の も 苦手で,悲哀,False,False,
55,True,4,0,2,B,False,B,そうなんだ?,そうなん だ ?,ニュートラル,False,False,
56,True,4,0,2,A,False,A,うっ,うっ,驚愕,False,False,
57,True,4,0,3,B,False,B,楽しいよ  なぎ倒せば,楽しい よ なぎ倒せば,喜楽,False,False,
58,True,4,0,3,A,False,A,…本番はポスター筒じゃなくディスカッションでなぎ倒してくださいね,… 本番 は ポスター 筒 じゃ なく ディスカッション で なぎ倒して ください ね,悲哀,False,False,
59,True,4,1,0,B,False,B,ディスカッション楽しいよ、なぎ倒せば,ディスカッション 楽しい よ 、 なぎ倒せば,喜楽,False,False,
60,True,4,1,0,A,False,A,…本番はポスター筒じゃなく言葉でなぎ倒してくださいね,… 本番 は ポスター 筒 じゃ なく 言葉 で なぎ倒して ください ね,悲哀,False,False,
61,True,4,1,1,B,False,B,あ、ぶつけちゃった?ごめん,あ 、 ぶつけちゃ った ? ごめん,驚愕,False,False,
62,True,4,1,1,A,False,A,僕はいいですけど、気をつけてくださいね,僕 は いい です けど 、 気 を つけて ください ね,悲哀,False,False,
63,True,4,1,1,A,False,A,よその人にぶつけないように,よそ の 人 に ぶつけ ない ように,UNK,True,True,
64,True,4,1,2,A,True,A,この前も駅で背負っている人見たな,この前 も 駅 で 背負って いる 人 見た な,悲哀,False,False,
65,True,4,1,2,A,True,A,学会だったのかな,学会 だった の か な,悲哀,True,True,
66,True,4,1,2,A,True,A,相手が急に立ち止まって、筒にぶつかったんだよな,相手 が 急に 立ち止まって 、 筒 に ぶつかった んだ よ な,悲哀,False,False,
67,True,5,0,0,A,False,A,何読んでるんですか?,何 読んで る んです か ?,ニュートラル,False,False,
68,True,5,0,0,B,False,B,夏目漱石だよ? Aくんはどんな本を読むの,夏目 漱石 だ よ ? A くん は どんな 本 を 読む の,ニュートラル,False,False,
69,True,5,0,0,B,False,B,オススメの本教えて,オススメ の 本 教えて,UNK,True,True,
70,True,5,0,0,A,False,A,僕ですか?,僕 です か ?,驚愕,False,False,
71,True,5,0,1,A,True,A,今ハマってる本はこの二冊…,今 ハマって る 本 は この 二 冊 …,悲哀,False,False,
72,True,5,0,1,A,True,A,少々マニアックだろうか…,少々 マニアック だろう か …,悲哀,False,False,
73,True,5,0,1,A,True,A,Bさん、苦手そうだよな…,B さん 、 苦手 そうだ よ な …,悲哀,False,False,
74,True,5,0,2,A,True,A,適当に流そう,適当に 流そう,ニュートラル,False,False,
75,True,5,0,2,A,False,A,小説はあまり読まないのですが、研究で利用している青空文庫の作品なら少々,小説 は あまり 読ま ない のです が 、 研究 で 利用 して いる 青空 文庫 の 作品 なら 少々,ニュートラル,False,False,
76,True,5,0,2,B,False,B,そうなんだ?,そうなん だ ?,ニュートラル,False,False,
77,True,5,0,2,B,True,B,適当に流したな,適当に 流した な,憤怒,False,False,
78,True,5,0,3,B,False,B,あと、これも読んだよ,あと 、 これ も 読んだ よ,憤怒,False,False,
79,True,5,1,0,B,False,B,これ読んだよ,これ 読んだ よ,ニュートラル,False,False,
80,True,5,1,1,A,False,A,ありがとうございます…それ何読んでるんですか?,ありがとう ございます … それ 何 読んで る んです か ?,ニュートラル,False,False,
81,True,5,1,1,B,False,B,夏目漱石だよ? Aくんはどんな本を読むの,夏目 漱石 だ よ ? A くん は どんな 本 を 読む の,ニュートラル,False,False,
82,True,5,1,1,B,False,B,オススメの本教えて,オススメ の 本 教えて,UNK,True,True,
83,True,5,1,1,A,False,A,僕ですか?,僕 です か ?,驚愕,False,False,
84,True,5,1,2,A,False,A,小説はあまり読まないのですが 研究で利用している青空文庫の作品なら少々,小説 は あまり 読ま ない のです が 研究 で 利用 して いる 青空 文庫 の 作品 なら 少々,ニュートラル,False,False,
85,True,5,1,2,B,False,B,そうなんだ?,そうなん だ ?,ニュートラル,False,False,
86,True,5,1,3,A,True,A,本当に今ハマってる本はこの二冊…,本当に 今 ハマって る 本 は この 二 冊 …,悲哀,False,False,
87,True,6,0,0,A,False,A,今日弁当なんですね,今日 弁当 な んです ね,ニュートラル,False,False,
88,True,6,0,0,B,False,B,そうなんだ?,そうなん だ ?,喜楽,False,False,
89,True,6,0,0,B,False,B,父の分と2つ作ったの,父 の 分 と 2 つ 作った の,UNK,True,True,
90,True,6,0,1,A,False,A,手作りなんですか?,手作り な んです か ?,ニュートラル,False,False,
91,True,6,0,1,B,False,B,ほとんど冷凍食品詰めただけだよ,ほとんど 冷凍 食品 詰めた だけ だ よ,ニュートラル,False,False,
92,True,6,0,2,A,False,A,見てもいいですか?,見て も いい です か ?,ニュートラル,False,False,
93,True,6,0,2,B,False,B,どうぞどうぞ,どうぞ どうぞ,喜楽,False,False,
94,True,6,0,3,B,False,B,キャー!,キャー !,驚愕,False,False,
95,True,6,0,3,A,True,A,ベタだなあ,ベタ だ なあ,悲哀,False,False,
96,True,6,1,0,B,False,B,キャー!,キャー !,驚愕,False,False,
97,True,6,1,0,A,True,A,ベタだなあ,ベタ だ なあ,悲哀,False,False,
98,True,6,1,1,A,False,A,今日弁当なの珍しいですね,今日 弁当 な の 珍しい です ね,悲哀,False,False,
99,True,6,1,1,B,False,B,ええ…父の分と2つ作ったんだけど,ええ … 父 の 分 と 2 つ 作った んだ けど,UNK,False,True,
100,True,6,1,1,B,False,B,入れ替わってしまったみたい,入れ替わって しまった みたい,UNK,True,True,
101,True,6,1,2,A,False,A,手作りなんですか?,手作り な んです か ?,悲哀,False,False,
