,id,original,story_main_num,story_sub_num,koma,who,inner,speaker,what,wakati,emotion,kakimoji,self_anotated,alter_emotion,wakati_sp,subword
0,0,TRUE,0,0,0,B,FALSE,B,Aくんっていつもクールね,A くん って いつも クール ね,ニュートラル,FALSE,FALSE,,a くん って いつも クール ね,Ａ くん って いつも クール ね
1,0,FALSE,0,0,0,B,FALSE,B,Aくんって絶え間なくクールね,A くん って 絶え間なく クール ね,ニュートラル,FALSE,FALSE,,a くん って 絶え 間 なく クール ね,Ａ くん って 絶え ##間 ##なく クール ね
2,0,FALSE,0,0,0,B,FALSE,B,Aくんって留め処無くクールね,A くん って 留め処無く クール ね,ニュートラル,FALSE,FALSE,,a くん って 留め 処 無く クール ね,Ａ くん って 留め ##処 ##無 ##く クール ね
3,0,FALSE,0,0,0,B,FALSE,B,Aくんってのべつ幕無しクールね,A くん って のべつ幕無し クール ね,ニュートラル,FALSE,FALSE,,a くん って の べ つ 幕 無し クール ね,Ａ くん って のべ ##つ ##幕 ##無 ##し クール ね
4,0,FALSE,0,0,0,B,FALSE,B,Aくんって止め処なくクールね,A くん って 止め処なく クール ね,ニュートラル,FALSE,FALSE,,a くん って 止め 処 なく クール ね,Ａ くん って 止め ##処 ##なく クール ね
5,0,FALSE,0,0,0,B,FALSE,B,Aくんって留め処なくクールね,A くん って 留め処なく クール ね,ニュートラル,FALSE,FALSE,,a くん って 留め 処 なく クール ね,Ａ くん って 留め ##処 ##なく クール ね
6,0,FALSE,0,0,0,B,FALSE,B,Aくんって引きも切らずクールね,A くん って 引きも切らず クール ね,ニュートラル,FALSE,FALSE,,a くん って 引き も 切ら ず クール ね,Ａ くん って 引き ##も ##切ら ##ず クール ね
7,0,FALSE,0,0,0,B,FALSE,B,Aくんって留処なくクールね,A くん って 留処なく クール ね,ニュートラル,FALSE,FALSE,,a くん って 留 処 なく クール ね,Ａ くん って 留 ##処 ##なく クール ね
8,0,FALSE,0,0,0,B,FALSE,B,Aくんってのべつ幕なしクールね,A くん って のべつ幕なし クール ね,ニュートラル,FALSE,FALSE,,a くん って の べ つ 幕 なし クール ね,Ａ くん って のべ ##つ ##幕 ##なし クール ね
9,0,FALSE,0,0,0,B,FALSE,B,Aくんって止め処無くクールね,A くん って 止め処無く クール ね,ニュートラル,FALSE,FALSE,,a くん って 止め 処 無く クール ね,Ａ くん って 止め ##処 ##無 ##く クール ね
10,0,FALSE,0,0,0,B,FALSE,B,Aくんって常住坐臥クールね,A くん って 常住坐臥 クール ね,ニュートラル,FALSE,FALSE,,a くん って 常 住 坐臥 クール ね,Ａ くん って 常住坐臥 クール ね
11,0,FALSE,0,0,0,B,FALSE,B,Aくんって年がら年中クールね,A くん って 年がら年中 クール ね,ニュートラル,FALSE,FALSE,,a くん って 年 が ら 年中 クール ね,Ａ くん って 年 ##がら ##年 ##中 クール ね
12,0,FALSE,0,0,0,B,FALSE,B,Aくんって変わりなくクールね,A くん って 変わりなく クール ね,ニュートラル,FALSE,FALSE,,a くん って 変わり なく クール ね,Ａ くん って 変わり ##なく クール ね
13,0,FALSE,0,0,0,B,FALSE,B,Aくんって極ってクールね,A くん って 極って クール ね,ニュートラル,FALSE,FALSE,,a くん って 極 って クール ね,Ａ くん って 極 ##って クール ね
14,0,FALSE,0,0,0,B,FALSE,B,Aくんって毎々クールね,A くん って 毎々 クール ね,ニュートラル,FALSE,FALSE,,a くん って 毎 々 クール ね,Ａ くん って 毎 ##々 クール ね
