id,story_main_num,story_sub_num,koma,who,inner,speaker,what,emotion
0,0,0,0,B,FALSE,B,小池君 今週末の予定は？,喜楽
1,0,0,0,A,FALSE,A,研究の進捗を生みますよ,ニュートラル
2,0,0,1,B,TRUE,B,本当かなぁ？,ニュートラル
3,0,1,1,A,FALSE,A,百合子さん こんにちは,ニュートラル
4,0,1,2,B,FALSE,B,週末は随分と楽しんだみたいね,嫌悪
5,0,1,3,B,FALSE,B,研究しないと留年するよ？,悲哀
6,0,1,3,A,FALSE,A,分かってはいるのですが・・・,悲哀
7,0,1,3,B,FALSE,B,一緒に卒業しようね！,喜楽
8,1,0,0,B,FALSE,B,おい！森下！ 自慢の一発ギャグを聴いてくれよ,喜楽
9,1,0,0,A,FALSE,A,えー まあいいですよ,悲哀
10,1,0,0,A,TRUE,A,絡まれると厄介だな・・・,嫌悪
11,1,0,1,B,FALSE,B,早くトイレに行っトイレ～！,喜楽
12,1,0,1,A,TRUE,A,どうしようもないセンスだけど そういう所も魅力的だな,喜楽
13,1,0,2,A,FALSE,A,ねぇ 秋葉さん,ニュートラル
14,1,0,2,A,FALSE,A,オヤジギャグの資料あげるから これでボキャブラリーを増やしなよ,ニュートラル
15,1,0,3,A,TRUE,A,無駄に努力家なんだな・・・,驚愕
16,1,1,0,B,FALSE,B,次のバラエティーの企画書です！,喜楽
17,1,1,0,A,FALSE,A,何が書かれているのかわからない・・・,憤怒
18,1,1,0,A,TRUE,A,大丈夫なのか この番組,憤怒
19,1,1,1,B,FALSE,B,何か疑問点や質問はある？,ニュートラル
20,1,1,1,A,FALSE,A,この番組のプロデューサーと話したいんですけど・・・,悲哀
21,1,1,2,B,FALSE,B,分かった！呼んでくるね！,喜楽
22,1,1,3,A,TRUE,A,この人 仕事の時だけ笑顔が多いな・・・,喜楽
23,2,0,0,A,FALSE,A,丸山先生 課題を提出しに来ました,ニュートラル
24,2,0,0,B,FALSE,B,これはどうもー,喜楽
25,2,0,2,A,FALSE,A,あー！ 文化祭の時に隠し撮りしていた動画が！,驚愕
26,2,0,2,A,TRUE,B,警察に突き出したいんだけど・・・,嫌悪
27,2,0,3,B,FALSE,B,あ、私の娘じゃん これどうしたの？,喜楽
28,2,0,3,A,FALSE,A,終わった・・・,悲哀
29,3,0,0,A,FALSE,A,あの 相談があるのですが・・・,悲哀
30,3,0,0,B,FALSE,B,どうしたの？,ニュートラル
31,3,0,1,A,FALSE,A,次の祭りでメイド服を着ていただけませんか！？,喜楽
32,3,0,1,B,FALSE,B,えー どうしようかな 考えとくね,ニュートラル
33,3,0,1,A,FALSE,A,ありがとうございます！,喜楽
34,3,0,2,A,TRUE,A,ブロマイドを沢山撮って金を稼ぐぞ・・・！,喜楽
35,3,0,3,B,TRUE,B,逆にあいつに着せてからかってやろう・・・,喜楽
